number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.9045498449007963,2026-06-11 17:09:45.124133,2026-06-11 17:10:44.368455,0 days 00:00:59.244322,0.9330880728874675,0.5290418060840998,0.044803926826840625,319,250,48,0.004207988669606638,0.2051110418843398,COMPLETE
1,0.89129028425542,2026-06-11 17:10:44.370502,2026-06-11 17:11:44.906149,0 days 00:01:00.535647,0.5917022549267169,0.5909124836035503,0.005318033256270142,487,341,39,2.1368329072358767,0.26587543983272705,COMPLETE
2,0.8989619370479146,2026-06-11 17:11:44.908024,2026-06-11 17:12:25.437814,0 days 00:00:40.529790,0.6831809216468459,0.6460723242676091,0.018236581424556052,181,222,31,0.2801635158716261,0.19010245319870356,COMPLETE
3,0.8941438517048478,2026-06-11 17:12:25.439602,2026-06-11 17:13:20.256755,0 days 00:00:54.817153,0.5852620618436457,0.8037724259507192,0.009093929525644107,281,282,42,0.23423849847112907,0.1238513729886093,COMPLETE
4,0.8978830007920946,2026-06-11 17:13:20.258239,2026-06-11 17:13:50.089207,0 days 00:00:29.830968,0.7200762468698007,0.8421165132560784,0.09021655603568132,414,126,48,0.01653693718282442,0.1567993391672301,COMPLETE
5,0.8849868490222668,2026-06-11 17:13:50.091093,2026-06-11 17:14:43.706136,0 days 00:00:53.615043,0.7600340105889054,0.6558555380447055,0.005542561258655853,460,148,30,0.010842262717330166,2.113705944064573,COMPLETE
6,0.9022407275205963,2026-06-11 17:14:43.707864,2026-06-11 17:15:57.141096,0 days 00:01:13.433232,0.9609371175115584,0.7989499894055425,0.09129115219600122,399,319,17,5.727904470799623,6.161049539380966,COMPLETE
7,0.8620367076349452,2026-06-11 17:15:57.142645,2026-06-11 17:16:37.578490,0 days 00:00:40.435845,0.6783766633467947,0.9143687545759647,0.005725482134163321,196,135,18,0.03586816498627549,0.34889766548903667,COMPLETE
8,0.8819001106060422,2026-06-11 17:16:37.580953,2026-06-11 17:17:39.397721,0 days 00:01:01.816768,0.5993578407670862,0.8861223846483287,0.007626348515257587,411,212,32,0.0019870215385428634,9.413993046829944,COMPLETE
9,0.8979276420776648,2026-06-11 17:17:39.399980,2026-06-11 17:18:11.785983,0 days 00:00:32.386003,0.5579345297625649,0.6792328642721364,0.04155397855708038,378,102,43,1.2164139351417065,0.14063366777718173,COMPLETE
10,0.8955869784191993,2026-06-11 17:18:11.787557,2026-06-11 17:19:22.472688,0 days 00:01:10.685131,0.9828764294174368,0.5077973998292282,0.0236021678298673,58,478,10,0.0012206764964658027,0.8152405534115823,COMPLETE
11,0.9003402296237475,2026-06-11 17:19:22.474585,2026-06-11 17:20:16.323008,0 days 00:00:53.848423,0.9677809380407124,0.985096300222458,0.09869041677272997,316,359,20,5.513963780896547,9.055075246853097,COMPLETE
12,0.8973919134743199,2026-06-11 17:20:16.325715,2026-06-11 17:21:33.239672,0 days 00:01:16.913957,0.8947385331597324,0.7406689444171943,0.056353188750777716,298,376,50,0.11959772737838162,2.3937191942813767,COMPLETE
13,0.9029362898487477,2026-06-11 17:21:33.241367,2026-06-11 17:22:25.601864,0 days 00:00:52.360497,0.8639981340235008,0.5045464612373045,0.050497926670844476,353,287,23,8.061955195855864,0.7483180024378255,COMPLETE
14,0.9015649838807186,2026-06-11 17:22:25.621569,2026-06-11 17:23:07.510105,0 days 00:00:41.888536,0.8408415413612531,0.5069606791331285,0.0363776186060587,237,240,24,0.004266587910190727,0.7383581117664725,COMPLETE
15,0.8996820722155344,2026-06-11 17:23:07.514806,2026-06-11 17:24:54.165979,0 days 00:01:46.651173,0.8470269269574726,0.5903431539754281,0.05500573727322588,348,428,36,0.7875010548546677,0.588705649689642,COMPLETE
16,0.8907839893563446,2026-06-11 17:24:54.169364,2026-06-11 17:25:49.556447,0 days 00:00:55.387083,0.9005742514980345,0.5647365303809557,0.02399647502977457,259,278,11,0.060143643001935906,1.4622504526962925,COMPLETE
17,0.904734004940476,2026-06-11 17:25:49.565316,2026-06-11 17:26:40.978970,0 days 00:00:51.413654,0.799820422209812,0.54717917317945,0.05598120886980684,128,191,25,0.006101129837407738,0.3654504652863497,COMPLETE
18,0.9002485317710731,2026-06-11 17:26:40.980605,2026-06-11 17:27:34.920702,0 days 00:00:53.940097,0.7932091548987112,0.5604836855183392,0.03276663254535151,86,189,27,0.004815210595826969,0.3804345187459687,COMPLETE
