,PSI
seller_late_rate_hist,0.4941836595350459
time_to_approve_hours,0.3358191238677835
approval_ratio,0.3358191238677835
total_freight,0.26560799529009443
estimated_delivery_days,0.09335998433785714
seller_total_orders_hist,0.09185974942808571
semana_del_mes,0.029218038726121876
risk_score,0.022406672926277238
max_width_cm,0.0215909948191098
avg_width_cm,0.021324030153206754
max_height_cm,0.020536100020678703
avg_height_cm,0.019838332690983968
approval_bin,0.019835459532360683
freight_ratio,0.01617104053977664
freight_per_kg,0.015106971036914163
max_dimension_cm,0.01379309016398211
volume_cm3,0.013435381910279477
log_volume_cm3,0.013435381910279477
avg_weight_g,0.012096188394497756
max_installments,0.011877347099998069
purchase_weekday,0.011723252676458901
avg_length_cm,0.011340122408220896
log_total_weight,0.010064678598305449
total_weight_g,0.010050459690594562
price_per_item,0.009414854242939077
max_length_cm,0.007181754347050637
weekday_x_hour,0.007141144675032507
density_gcm3,0.006953622048108063
total_price,0.005863797941113717
log_total_payment,0.0043768225305309705
total_payment,0.004369799673605239
purchase_hour,0.0018068340768187083
region_x_complexity,0.0013939535932585775
distance_km,0.0013939535932585775
region_risk_score,0.0013939535932585775
distance_x_complexity,0.0013939535932585775
total_items,0.0003393342525588677
bin_hora,0.00025201805314245475
freight_category,0.0001371645184345439
unique_products,0.0
customer_state,0.0
is_peak_season,0.0
is_festivo,0.0
unique_sellers,0.0
main_category,0.0
seller_state,0.0
payment_methods,0.0
is_off_hours,0.0
main_payment_type,0.0
payment_rows,0.0
is_weekend,0.0
is_short_promise,0.0
high_risk_day,0.0
carrito_complejo,0.0
has_oversized_item,0.0
is_long_distance,0.0
same_state,0.0
interstate_flag,0.0
complex_route,0.0
approval_delay_flag,0.0
logistic_complexity,0.0
is_heavy,0.0
tiene_varios_vendedores,0.0
high_freight_flag,0.0
is_high_installments,0.0
is_boleto,0.0
seller_is_experienced,0.0
