tecnica,modelo,AUC_train,AUC_val,gap,n_clase1
sin_balanceo,LogReg,0.7166,0.7528,-0.0362,5864
sin_balanceo,LightGBM,0.9049,0.7328,0.1721,5864
RandomOverSampler,LogReg,0.7166,0.7523,-0.0357,58288
RandomOverSampler,LightGBM,0.8986,0.7307,0.1679,58288
SMOTE,LogReg,0.6384,0.6645,-0.0261,58288
SMOTE,LightGBM,0.8554,0.7356,0.1198,58288
SMOTENC,LogReg,0.6633,0.6863,-0.023,58288
SMOTENC,LightGBM,0.8472,0.7304,0.1169,58288
SMOTEENN,LogReg,0.649,0.6734,-0.0244,57577
SMOTEENN,LightGBM,0.8532,0.7312,0.122,57577
