Variable,PSI,Importancia_Modelo,Ranking_Importancia
tiene_varios_vendedores,0.0,1.193471,1
seller_state,0.0,0.937347,2
customer_state,0.0,0.873378,3
main_category,0.0,0.836381,4
same_state,0.0,0.648943,5
estimated_delivery_days,0.0934,0.587109,6
is_short_promise,0.0,0.529882,7
is_festivo,0.0,0.510328,8
log_total_payment,0.0044,0.41782,9
complex_route,0.0,0.404704,10
is_peak_season,0.0,0.34149,11
is_long_distance,0.0,0.262329,12
total_items,0.0003,0.247641,13
unique_products,0.0,0.238146,14
has_oversized_item,0.0,0.180258,15
approval_bin,0.0198,0.177101,16
total_weight_g,0.0101,0.177034,17
avg_weight_g,0.0121,0.173688,18
payment_methods,0.0,0.169324,19
freight_category,0.0001,0.167029,20
high_risk_day,0.0,0.163129,21
high_freight_flag,0.0,0.157684,22
is_heavy,0.0,0.148689,23
freight_ratio,0.0162,0.133349,24
freight_per_kg,0.0151,0.126673,25
price_per_item,0.0094,0.122794,26
seller_total_orders_hist,0.0919,0.121417,27
logistic_complexity,0.0,0.111999,28
is_weekend,0.0,0.104902,29
log_total_weight,0.0101,0.089975,30
volume_cm3,0.0134,0.088719,31
max_dimension_cm,0.0138,0.087338,32
is_boleto,0.0,0.077853,33
risk_score,0.0224,0.043034,34
payment_rows,0.0,0.039778,35
carrito_complejo,0.0,0.034421,36
bin_hora,0.0003,0.033548,37
density_gcm3,0.007,0.032311,38
semana_del_mes,0.0292,0.028394,39
weekday_x_hour,0.0071,0.016516,40
is_off_hours,0.0,0.010968,41
seller_is_experienced,0.0,0.010677,42
avg_height_cm,0.0198,0.009281,43
avg_length_cm,0.0113,0.009048,44
purchase_weekday,0.0117,0.005988,45
max_installments,0.0119,0.005933,46
log_volume_cm3,0.0134,0.002611,47
avg_width_cm,0.0213,0.000708,48
main_payment_type,0.0,0.0,49
is_high_installments,0.0,0.0,50
